1168,192.88.103.143,Smart-TV,85:15:ab:bf:22:20,gsmith,https://www.amazon.com/Essentialist-Womens-Pleated-High-Waist-Niagara/dp/B073RB1V1K/ref=lp_17689965011_1_39?s=apparel&ie=UTF8&qid=1523543120&sr=1-39&nodeID=17689965011&psd=1,Others,Y,N,5,N,10/30/2018,2018-10-30T06:10:41.472962,Accesslog,4.96E+55,shardId-000000000000,10:41.5
1883,198.32.43.241,Tab,9f:32:9d:89:24:1e,dustinbowman,https://www.amazon.com/s/s/ref=sr_nr_p_6_7?fst=as%3Aoff&rh=n%3A3760901%2Ck%3Abatteries%2Cp_6%3AA16TS8M4NPWTR8&keywords=batteries&ie=UTF8&qid=1523477243&rnid=331556011,Firefox,N,Y,3,N,10/30/2018,2018-10-30T06:10:42.578204,Accesslog,4.96E+55,shardId-000000000000,10:42.6
1976,192.0.79.54,Laptop,0b:e1:27:17:9f:5f,anthonyhernandez,https://www.amazon.com/Suite-Alice-Womens-Trousers-Large/dp/B0763SBQRT/ref=lp_17689965011_1_40?s=apparel&ie=UTF8&qid=1523543051&sr=1-40&nodeID=17689965011&psd=1,,N,N,192,Y,10/30/2018,2018-10-30T06:10:43.682536,Accesslog,4.96E+55,shardId-000000000000,10:43.7
1552,203.0.122.178,Laptop,02:47:3e:68:06:41,carol17,https://www.amazon.com/Pressure-Portable-Accuracy-Readings-included/dp/B074F3QPNY/ref=sr_1_6_s_it?s=hpc&ie=UTF8&qid=1523477144&sr=1-6&keywords=blood%2Bpressure%2Bmonitor&th=1,,N,N,108,Y,10/30/2018,2018-10-30T06:10:44.787076,Accesslog,4.96E+55,shardId-000000000000,10:44.8
1834,192.27.27.220,Smart-TV,8e:0f:fc:8e:0a:13,wmartin,https://www.amazon.com/Outdoor-Exploration-Young-Kids-Case/dp/B0754N9PMS/ref=gbps_img_m-6_c384_0c1fddc3?smid=A25UVQ9KXPS81A&pf_rd_p=ff79ced4-5db9-455b-bf03-bc212430c384&pf_rd_,Others,Y,N,2,N,10/30/2018,2018-10-30T06:10:45.892032,Accesslog,4.96E+55,shardId-000000000000,10:45.9
1695,100.45.114.213,Tab,0f:ee:57:5d:f5:54,jeffreystevens,https://www.amazon.com/s/ref=nb_sb_ss_i_3_5?url=search-alias%3Dmovies-tv&field-keywords=frozen+blu+ray&sprefix=froze%2Cmovies-tv%2C157&crid=19VQBBRK1Q3A7,Safari,N,N,9,N,10/30/2018,2018-10-30T06:10:46.998119,Accesslog,4.96E+55,shardId-000000000000,10:47.0
1283,192.31.209.96,Smart-TV,51:93:1b:60:75:a2,bestalex,https://www.amazon.com/Pressure-Portable-Accuracy-Readings-included/dp/B074F3QPNY/ref=sr_1_6_s_it?s=hpc&ie=UTF8&qid=1523477144&sr=1-6&keywords=blood%2Bpressure%2Bmonitor&th=1,Chrome,N,Y,179,Y,10/30/2018,2018-10-30T06:10:48.103352,Accesslog,4.96E+55,shardId-000000000000,10:48.1
1242,198.190.170.240,Mobile,69:22:9e:00:38:1b,alexandertaylor,https://www.amazon.com/Essentialist-Womens-Pleated-High-Waist-Niagara/dp/B073RB1V1K/ref=lp_17689965011_1_39?s=apparel&ie=UTF8&qid=1523543120&sr=1-39&nodeID=17689965011&psd=1,Safari,N,N,64,Y,10/30/2018,2018-10-30T06:10:49.208150,Accesslog,4.96E+55,shardId-000000000000,10:49.2
1630,192.88.101.31,Mobile,06:8e:65:c7:c0:d3,houstontimothy,https://www.amazon.com/s/ref=nb_sb_ss_fb_1_17?url=search-alias%3Daps&field-keywords=washer+machine+faucet&sprefix=washer+machine+fa%2Chpc%2C160&crid=2B1CAWTSGDXL8&rh=i%3Aaps%,Chrome,N,Y,3,N,10/30/2018,2018-10-30T06:10:50.312671,Accesslog,4.96E+55,shardId-000000000000,10:50.3
1100,192.175.19.153,Laptop,55:cb:4f:a1:22:ed,wsherman,https://www.amazon.com/Pampers/pages/2598115011/ref=amb_link_1?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-left-3&pf_rd_r=CKP3CG5BH6VQ2PTRVQ06&pf_rd_r=CKP3CG5BH6VQ2PT,,N,Y,89,Y,10/30/2018,2018-10-30T06:10:51.417160,Accesslog,4.96E+55,shardId-000000000000,10:51.4
